"peng","sex","col","breed","lay","hct","hb","mass","sumvkm","tripdur","sea","tripn","meand","maxd","mass0","massGain"
21,"M","RP","1","",49,21.425,6.4,180.6333976,2.885247685,14.42623843,5,34.18497304,217.75,6.4,0
24,"M","RP","0","",48,19.679,7.1,348.3717688,10.05839506,30.17518519,3,26.54463341,177,5.5,1.6
27,"M","RP","0","",46,19.372,6.2,410.2306529,0.46969709,16.43939815,35,35.90326036,74.75,5.9,0.3
30,NA,"RP","0","",44,11.538,6.2,865.1248493,1.919603395,28.79405093,15,59.80401281,156.5,5.3,0.9
32,NA,"RP","0","",53,10.594,6.7,419.8857569,1.400811632,22.41298611,16,35.82642977,177.25,6.8,-0.1
35,"M","PI","0","",53,25.094,7.2,698.4658963,1.620863922,22.69209491,14,45.19059888,170,5.6,1.6
36,"M","PI","1","",42,23.784,6.7,375.6035097,8.751338735,26.2540162,3,28.16885479,188.25,5.2,1.5
40,"F","PI","2","22-Oct",50,23.053,7.9,701.8613983,1.389979332,19.45971065,14,59.47977951,165.25,6.3,1.6
41,"M","PI","2","20-Oct",44,16.291,7.2,359.5745454,2.08608912,20.8608912,10,28.55125817,204.375,5.9,1.3
42,"F","PI","0","",46,19.973,6.7,497.263381,1.382235839,23.49800926,17,34.93981035,166.5,4.9,1.8
43,"F","PI","1","",58,25.41,5.8,620.8409387,1.665341049,24.98011574,15,39.23909359,162,5.4,0.4
47,"M","PI","1","",48,23.89,7.3,432.407111,1.896074285,20.85681713,11,45.95187152,174.5,5.8,1.5
49,"M","PI","1","",50,16.719,5.8,614.0471084,1.772619874,24.81667824,14,45.63370306,167.4494792,5.4,0.4
50,"M","PI","1","",44,18.4315,7.6,700.5388299,1.736046627,24.30465278,14,44.3547442,136.5,5.4,2.2
51,"F","PI","0","",55,30.569,6.7,846.3936046,1.939645062,29.09467593,15,86.08559851,157,6.6,0.1
55,"F","PI","0","",51,25.753,7,785.968213,1.968968127,25.59658565,13,77.45055311,159,5.3,1.7
56,"M","PI","2","23-Oct",48,16.141,6.5,485.6417891,0.920996423,20.2619213,22,45.66019078,169.25,5.4,1.1
58,"M","PI","2","18-Oct",56,17.618,7.1,467.1811788,1.518949653,18.22739583,12,56.83469328,156,5.6,1.5
63,NA,"PI","1","",52,23.505,7.4,283.9850501,3.839356812,26.87549769,7,27.74375245,183,5.7,1.7
